title,country,release_year,duration,date_added,duration_normalized,genre_Action,genre_Anime Features,genre_Children,genre_Classic Movies,genre_Comedies,genre_Cult Movies,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_Independent Movies,genre_International Movies,genre_LGBTQ Movies,genre_Music,genre_Romantic Movies,genre_Sci-Fi,genre_Sports Movies,genre_Stand-Up,genre_Thrillers,genre_Uncategorized,genre_Action,genre_Anime Features,genre_Children,genre_Classic Movies,genre_Comedies,genre_Cult Movies,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_Independent Movies,genre_International Movies,genre_LGBTQ Movies,genre_Music,genre_Romantic Movies,genre_Sci-Fi,genre_Sports Movies,genre_Stand-Up,genre_Thrillers,genre_Uncategorized
#Roxy,Canada,2018,105,"04,10,2019",0.3300970873786408,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#Rucker50,United States,2016,56,"12,01,2016",0.1715210355987055,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
#Selfie,Romania,2014,125,"06,01,2019",0.3948220064724919,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#Selfie 69,Romania,2016,119,"06,01,2019",0.37540453074433655,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"¡Ay, mi madre!",Spain,2019,81,"07,19,2019",0.2524271844660194,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Çarsi Pazar,Turkey,2015,97,"03,10,2017",0.3042071197411003,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ég man þig,Iceland,2017,106,"03,27,2018",0.3333333333333333,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Çok Filim Hareketler Bunlar,Turkey,2010,99,"03,10,2017",0.3106796116504854,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Òlòtūré,Nigeria,2020,107,"10,02,2020",0.3365695792880259,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Æon Flux,United States,2005,93,"02,01,2018",0.2912621359223301,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 Chance 2 Dance,United States,2014,89,"07,01,2017",0.2783171521035599,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1 Mile to You,United States,2017,105,"07,07,2017",0.3300970873786408,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10 Days in Sun City,South Africa,2017,87,"10,18,2019",0.27184466019417475,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10 jours en or,France,2012,97,"07,01,2017",0.3042071197411003,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"10,000 B.C.",United States,2008,109,"06,01,2019",0.343042071197411,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100 Days Of Solitude,Spain,2018,93,"07,06,2018",0.2912621359223301,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
100 Meters,Portugal,2016,109,"03,10,2017",0.343042071197411,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
100 Things to do Before High School,United States,2014,44,"11,02,2019",0.13268608414239483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100 Years: One Woman's Fight for Justice,United States,2016,75,"03,20,2018",0.23300970873786409,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
100% Halal,Indonesia,2020,101,"01,07,2021",0.31715210355987056,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1000 Rupee Note,India,2014,89,"12,01,2016",0.2783171521035599,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12 ROUND GUN,United States,2017,90,"03,14,2019",0.2815533980582524,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13 Cameras,United States,2015,90,"08,13,2016",0.2815533980582524,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13 Sins,United States,2014,93,"01,13,2019",0.2912621359223301,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13TH,United States,2016,101,"10,07,2016",0.31715210355987056,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14 Blades,Hong Kong,2010,113,"04,03,2019",0.3559870550161812,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14 Cameras,United States,2018,89,"10,27,2018",0.2783171521035599,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14 Minutes from Earth,United States,2016,84,"02,01,2019",0.2621359223300971,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16 Blocks,United States,2006,102,"11,01,2019",0.32038834951456313,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17 Again,United States,2009,102,"01,01,2021",0.32038834951456313,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
